Feature,Mean,Median,Std Dev,Min,Max,Skewness,Kurtosis,Q1,Q3
Total Time Min,23.4401,17.4000,18.5040,1.5000,80.0000,0.8836,-0.4515,8.6750,35.0000
Pieces Started,6.6200,4.0000,5.5563,1.0000,19.0000,0.9707,-0.5742,3.0000,11.0000
Completion Depth Avg,39.9002,24.7500,34.1557,2.0000,100.0000,0.5528,-1.3047,10.5000,76.2500
Complementary Interactions,4.3300,3.0000,3.9653,0.0000,13.0000,0.6175,-0.9468,1.0000,8.0000
Thematic Diversity,3.2660,2.0000,2.5897,1.0000,9.0000,1.0098,-0.4041,1.0000,5.0000
Pause Count,0.8673,0.0000,1.2618,0.0000,4.0000,1.3601,0.6243,0.0000,1.0000
Navigation Speed,0.4477,0.4085,0.5693,-1.9940,15.3830,15.0302,358.5062,0.1115,0.6332
